,132,KAWAT,BRG-132,Kg
,133,CINCIN BETON BARU,BRG-133,Kg
,134,BESI,BRG-134,Kg
,135,KONTAKTOR,BRG-135,Kg
,136,DP WF ,BRG-136,Rad
,137,DP Seng,BRG-137,Kg
,138,,BRG-138,
,139,SATU SET ALAT POTONG,BRG-139,Kg
,140,Win Sling,BRG-140,Pcs
,141,BETON 13 URIL,BRG-141,BATANG
,142,NCB,BRG-142,Kg
,143,BAK PEEL ,BRG-143,Kg
,144,ALMUNIUM SIKU,BRG-144,Kg
,145,PER,BRG-145,Kg
,146,TONG,BRG-146,Pcs
,147,SIMER SIBEL,BRG-147,Kg
,148,TANGGA PUTAR,BRG-148,Kg
,149,KABINET,BRG-149,Kg
,150,LUBANG,BRG-150,Pcs
,151,TIANG LISTRIK 8 M,BRG-151,Pcs
,152,WF DAN HBEAM,BRG-152,Kg
,153,BESI BETON REJECT,BRG-153,Kg
,154,HBEAM 300 PLUS BESPLAT,BRG-154,Kg
,155,HBEAM,BRG-155,Kg
,156,SOBLEKER,BRG-156,Pcs
,157,TABUNG KECIL,BRG-157,PCS
,158,TABUNG BESAR,BRG-158,PCS
,159,KAYU GELONDONGAN,BRG-159,Rad
,160,KAYU DAN GENTENG,BRG-160,Rad
,161,WF 300,BRG-161,Kg
,162,WF 250,BRG-162,Kg
,163,HENPALET DAN SPERPART,BRG-163,Kg
,164,PIPA BOR,BRG-164,Kg
,165,ROLINGDOR,BRG-165,Kg
,166,KAWAT BETON,BRG-166,Kg
,167,PAKU ,BRG-167,Kg
,168,LAHER,BRG-168,Kg
,169,BAN BEKAS,BRG-169,PCS
,170,ALM SENG,BRG-170,Kg
,171,PLAT POTONG,BRG-171,Kg
,172,TIHANG PIPA,BRG-172,Kg
,173,CONTAKTOR,BRG-173,Kg
,174,FEE SENG,BRG-174,M
,175,PARALON 12'',BRG-175,BATANG
,176,GRAM KUNINGAN,BRG-176,Kg
,177,CILER,BRG-177,Pcs
,178,IBEAM,BRG-178,Kg
,179,PLAT WAJIT,BRG-179,LEMBAR
,180,ONGKOS LUBANG,BRG-180,LUBANG
,181,TANGGA  ,BRG-181,Kg
,182,KERAN  ,BRG-182,Kg
,183,GRAM ALM,BRG-183,Kg
,184,KABEL,BRG-184,Kg
,185,KONTAKTOR,BRG-185,Kg
,186,MESIN PRESS,BRG-186,Kg
,187,DRUM RONGSOK,BRG-187,Kg
,188,KAWAT,BRG-188,Kg
,189,PAKU ,BRG-189,Kg
,190,CIN CIN BEKAS,BRG-190,Kg
,191,GRAM TEMBAGA,BRG-191,Kg
,192,KURSI CHITOSE,BRG-192,Kg
,193,DRUM,BRG-193,PCS
,194,BETON,BRG-194,Kg
,195,GEAR BOX DLL,BRG-195,Kg
,196,RANGKA BETON,BRG-196,Kg
,197,SEPERPART PLASTIK,BRG-197,Kg
,198,MESIN ROTI,BRG-198,Kg
,199,PLASTIK,BRG-199,Kg
,200,TOREN STENLIS,BRG-200,Kg
,201,RAK,BRG-201,Kg
,202,PIPA,BRG-202,Kg
,203,"PARALON 8""",BRG-203,BATANG
,204,BAUD  ,BRG-204,Kg
,205,SENG,BRG-205,LEMBAR
,206,WARMES M.8,BRG-206,LEMBAR
,207,MESIN DISEL,BRG-207,PCS
,208,"BONDEX 0,75 MM",BRG-208,LEMBAR
,209,DINAMO,BRG-209,Kg
,210,SEPANDEX,BRG-210,M
,211,BLEKER,BRG-211,Kg
,212,GEAR BOX DINAMO,BRG-212,Kg
,213,RONGSOK MESIN,BRG-213,Kg
,214,MESIN BEJING,BRG-214,RAD
,215,BLOWER,BRG-215,Kg
